taxonID,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Folliculinidae,1692,Folliculinidae,Chromista,Ciliophora,Heterotrichea,Heterotrichida,Folliculinidae,NA,NA
Foraminifera,1410,Foraminifera,Chromista,Foraminifera,NA,NA,NA,NA,NA
Galathea nexa,107152,Galathea nexa,Animalia,Arthropoda,Malacostraca,Decapoda,Galatheidae,Galathea,nexa
Galathowenia,146949,Galathowenia,Animalia,Annelida,Polychaeta,NA,Oweniidae,Galathowenia,NA
Galathowenia fragilis,146951,Galathowenia fragilis,Animalia,Annelida,Polychaeta,NA,Oweniidae,Galathowenia,fragilis
Galathowenia oculata,146950,Galathowenia oculata,Animalia,Annelida,Polychaeta,NA,Oweniidae,Galathowenia,oculata
Gammaropsis maculata,102364,Gammaropsis maculata,Animalia,Arthropoda,Malacostraca,Amphipoda,Photidae,Gammaropsis,maculata
Gari,138388,Gari,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari,NA
Gari fervensis,140870,Gari fervensis,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari,fervensis
Gastropoda,101,Gastropoda,Animalia,Mollusca,Gastropoda,NA,NA,NA,NA
Gastrosaccus sanctus,120019,Gastrosaccus sanctus,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Gastrosaccus,sanctus
Gattyana cirrhosa,130749,Gattyana cirrhosa,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gattyana,cirrhosa
Glycera,129296,Glycera,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,NA
Glycera alba,130116,Glycera alba,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,alba
Glycera celtica,130119,Glycera celtica,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,celtica
Glycera lapidum,130123,Glycera lapidum,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,lapidum
Glycera oxycephala,130126,Glycera oxycephala,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,oxycephala
Glycera unicornis,130131,Glycera unicornis,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,unicornis
Glyceridae,952,Glyceridae,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,NA,NA
Glycinde nordmanni,130136,Glycinde nordmanni,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde,nordmanni
Glyphohesione klatti,130696,Glyphohesione klatti,Animalia,Annelida,Polychaeta,Phyllodocida,Pilargidae,Glyphohesione,klatti
Gnathia,118437,Gnathia,Animalia,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Gnathia,NA
Gnathia oxyuraea,118995,Gnathia oxyuraea,Animalia,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Gnathia,oxyuraea
Gnathiidae,118278,Gnathiidae,Animalia,Arthropoda,Malacostraca,Isopoda,Gnathiidae,NA,NA
Golfingia (Golfingia) elongata,175026,Golfingia (Golfingia) elongata,Animalia,Annelida,NA,Sipuncula,Golfingiidae,Golfingia,elongata
Golfingia elongata,175026,Golfingia (Golfingia) elongata,Animalia,Annelida,NA,Sipuncula,Golfingiidae,Golfingia,elongata
Golfingia (Golfingia) vulgaris,410724,Golfingia (Golfingia) vulgaris vulgaris,Animalia,Annelida,NA,Sipuncula,Golfingiidae,Golfingia,vulgaris
Golfingiidae,2032,Golfingiidae,Animalia,Annelida,NA,Sipuncula,Golfingiidae,NA,NA
Goneplax rhomboides,107292,Goneplax rhomboides,Animalia,Arthropoda,Malacostraca,Decapoda,Goneplacidae,Goneplax,rhomboides
Goniada,129300,Goniada,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada,NA
Goniada maculata,130140,Goniada maculata,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada,maculata
Goniada norvegica,130141,Goniada norvegica,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada,norvegica
Goniadidae,953,Goniadidae,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,NA,NA
Hagiosynodos latus,111391,Hagiosynodos latus,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Cheiloporinidae,Hagiosynodos,latus
Halecium,117103,Halecium,Animalia,Cnidaria,Hydrozoa,Leptothecata,Haleciidae,Halecium,NA
Halopteris catharina,117631,Halopteris catharina,Animalia,Cnidaria,Hydrozoa,Leptothecata,Halopterididae,Halopteris,catharina
Harmothoe,129491,Harmothoe,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,NA
Harmothoe antilopes,130754,Harmothoe antilopes,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,antilopes
Harmothoe glabra,571832,Harmothoe glabra,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,glabra
Harmothoe globifera,130766,Harmothoe globifera,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,globifera
Harmothoe imbricata,130769,Harmothoe imbricata,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,imbricata
Harpinia antennaria,102960,Harpinia antennaria,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpinia,antennaria
Harpinia crenulata,102963,Harpinia crenulata,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpinia,crenulata
Harpinia laevis,102968,Harpinia laevis,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpinia,laevis
Harpinia pectinata,102972,Harpinia pectinata,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpinia,pectinata
Hemilamprops,110407,Hemilamprops,Animalia,Arthropoda,Malacostraca,Cumacea,Lampropidae,Hemilamprops,NA
Hemilamprops roseus,110514,Hemilamprops roseus,Animalia,Arthropoda,Malacostraca,Cumacea,Lampropidae,Hemilamprops,roseus
Hermania,720758,Hermania,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Hermania,NA
Hermania scabra,867492,Hermania scabra,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Hermania,scabra
Heteromastus,129214,Heteromastus,Animalia,Annelida,Polychaeta,NA,Capitellidae,Heteromastus,NA
Heteromastus filiformis,129884,Heteromastus filiformis,Animalia,Annelida,Polychaeta,NA,Capitellidae,Heteromastus,filiformis
Hiatella arctica,140103,Hiatella arctica,Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,arctica
Hippomedon denticulatus,102570,Hippomedon denticulatus,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Hippomedon,denticulatus
Holothuroidea,123083,Holothuroidea,Animalia,Echinodermata,Holothuroidea,NA,NA,NA,NA
Hyala vitrea,140129,Hyala vitrea,Animalia,Mollusca,Gastropoda,Littorinimorpha,Iravadiidae,Hyala,vitrea
Hyalinoecia tubicola,130464,Hyalinoecia tubicola,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Hyalinoecia,tubicola
Hydractinia echinata,117644,Hydractinia echinata,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Hydractiniidae,Hydractinia,echinata
Hydrallmania falcata,117890,Hydrallmania falcata,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Hydrallmania,falcata
Hydroides norvegica,131009,Hydroides norvegica,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,norvegica
Hyperiidae,101417,Hyperiidae,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,NA,NA
Ione thoracica,118218,Ione thoracica,Animalia,Arthropoda,Malacostraca,Isopoda,Ionidae,Ione,thoracica
Iphimedia nexa,102346,Iphimedia nexa,Animalia,Arthropoda,Malacostraca,Amphipoda,Iphimediidae,Iphimedia,nexa
Iphinoe serrata,110460,Iphinoe serrata,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Iphinoe,serrata
Iphinoe trispinosa,110462,Iphinoe trispinosa,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Iphinoe,trispinosa
Isaeidae,101388,Isaeidae,Animalia,Arthropoda,Malacostraca,Amphipoda,Isaeidae,NA,NA
Isopoda,1131,Isopoda,Animalia,Arthropoda,Malacostraca,Isopoda,NA,NA,NA
Jaculella,112307,Jaculella,Chromista,Foraminifera,Monothalamea,Astrorhizida,Hippocrepinidae,Jaculella,NA
Janira maculosa,118732,Janira maculosa,Animalia,Arthropoda,Malacostraca,Isopoda,Janiridae,Janira,maculosa
Jasmineira caudata,130920,Jasmineira caudata,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Jasmineira,caudata
Jasmineira elegans,130921,Jasmineira elegans,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Jasmineira,elegans
Kirkegaardia,884676,Kirkegaardia,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Kirkegaardia,NA
Kurtiella bidentata,345281,Kurtiella bidentata,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella,bidentata
Kurtiella tumidula,345287,Kurtiella tumidula,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella,tumidula
Labidoplax buskii,124455,Labidoplax buskii,Animalia,Echinodermata,Holothuroidea,Apodida,Synaptidae,Labidoplax,buskii
Labidoplax buski,124455,Labidoplax buskii,Animalia,Echinodermata,Holothuroidea,Apodida,Synaptidae,Labidoplax,buskii
Lagis koreni,152367,Lagis koreni,Animalia,Annelida,Polychaeta,Terebellida,Pectinariidae,Lagis,koreni
Lanice conchilega,131495,Lanice conchilega,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,conchilega
Laomedea flexuosa,117382,Laomedea flexuosa,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Laomedea,flexuosa
Laona quadrata,882941,Laona quadrata,Animalia,Mollusca,Gastropoda,Cephalaspidea,Laonidae,Laona,quadrata
Laonice bahusiensis,131127,Laonice bahusiensis,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,bahusiensis
Laonice irinae,1518242,Laonice irinae,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,irinae
Laonice sarsi,131129,Laonice sarsi,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,sarsi
Leiochone,146991,Leiochone,Animalia,Annelida,Polychaeta,NA,Maldanidae,Leiochone,NA
Leiochone leiopygos,559007,Leiochone leiopygos,Animalia,Annelida,Polychaeta,NA,Maldanidae,Leiochone,leiopygos
Lepidepecreum longicorne,102598,Lepidepecreum longicorne,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Lepidepecreum,longicorne
Leptochiton asellus,140199,Leptochiton asellus,Animalia,Mollusca,Polyplacophora,Lepidopleurida,Leptochitonidae,Leptochiton,asellus
Leptostylis villosa,110506,Leptostylis villosa,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Leptostylis,villosa
Leptosynapta,123449,Leptosynapta,Animalia,Echinodermata,Holothuroidea,Apodida,Synaptidae,Leptosynapta,NA
Leptosynapta bergensis,124462,Leptosynapta bergensis,Animalia,Echinodermata,Holothuroidea,Apodida,Synaptidae,Leptosynapta,bergensis
Leptosynapta decaria,124463,Leptosynapta decaria,Animalia,Echinodermata,Holothuroidea,Apodida,Synaptidae,Leptosynapta,decaria
Leuckartiara octona,117791,Leuckartiara octona,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Leuckartiara,octona
Leucon (Leucon) nasica,110618,Leucon (Leucon) nasica,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Leucon,nasica
Leucon nasica,110618,Leucon (Leucon) nasica,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Leucon,nasica
Leucothoe incisa,102460,Leucothoe incisa,Animalia,Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Leucothoe,incisa
Leucothoe lilljeborgi,102462,Leucothoe lilljeborgi,Animalia,Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Leucothoe,lilljeborgi
Levinsenia gracilis,130578,Levinsenia gracilis,Animalia,Annelida,Polychaeta,NA,Paraonidae,Levinsenia,gracilis
Liocarcinus,106925,Liocarcinus,Animalia,Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus,NA
Lovenella clausa,117736,Lovenella clausa,Animalia,Cnidaria,Hydrozoa,Leptothecata,Lovenellidae,Lovenella,clausa
Loxosomella murmanica,111834,Loxosomella murmanica,Animalia,Entoprocta,NA,NA,Loxosomatidae,Loxosomella,murmanica
Loxosomella varians,111844,Loxosomella varians,Animalia,Entoprocta,NA,NA,Loxosomatidae,Loxosomella,varians
Lucinoma borealis,140283,Lucinoma borealis,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucinoma,borealis
Lumbrineridae,967,Lumbrineridae,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,NA,NA
Lumbrineris cingulata,130240,Lumbrineris cingulata,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,cingulata
Lysilla loveni,131500,Lysilla loveni,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Lysilla,loveni
Lytocarpia myriophyllum,117302,Lytocarpia myriophyllum,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Lytocarpia,myriophyllum
Mactra,138158,Mactra,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Mactra,NA
Magelona,129341,Magelona,Animalia,Annelida,Polychaeta,NA,Magelonidae,Magelona,NA
Magelona alleni,130266,Magelona alleni,Animalia,Annelida,Polychaeta,NA,Magelonidae,Magelona,alleni
Magelona filiformis,130268,Magelona filiformis,Animalia,Annelida,Polychaeta,NA,Magelonidae,Magelona,filiformis
Magelona johnstoni,130269,Magelona johnstoni,Animalia,Annelida,Polychaeta,NA,Magelonidae,Magelona,johnstoni
Magelona minuta,130270,Magelona minuta,Animalia,Annelida,Polychaeta,NA,Magelonidae,Magelona,minuta
Maldanidae,923,Maldanidae,Animalia,Annelida,Polychaeta,NA,Maldanidae,NA,NA
Malmgrenia,147006,Malmgrenia,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,NA
Malmgrenia andreapolis,147008,Malmgrenia andreapolis,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,andreapolis
Malmgrenia arenicolae,152276,Malmgrenia arenicolae,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,arenicolae
Malmgrenia darbouxi,863197,Malmgrenia darbouxi,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,darbouxi
Malmgrenia ljungmani,152304,Malmgrenia ljungmani,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,ljungmani
Malmgrenia marphysae,152267,Malmgrenia marphysae,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,marphysae
Malmgrenia mcintoshi,147007,Malmgrenia mcintoshi,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,mcintoshi
Medicorophium affine,423507,Medicorophium affine,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Medicorophium,affine
Mediomastus fragilis,129892,Mediomastus fragilis,Animalia,Annelida,Polychaeta,NA,Capitellidae,Mediomastus,fragilis
Megaluropus agilis,102783,Megaluropus agilis,Animalia,Arthropoda,Malacostraca,Amphipoda,Megaluropidae,Megaluropus,agilis
Megastomia conoidea,224401,Megastomia conoidea,Animalia,Mollusca,Gastropoda,NA,Pyramidellidae,Megastomia,conoidea
Melanella polita,139859,Melanella polita,Animalia,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Melanella,polita
Melitidae,101397,Melitidae,Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,NA,NA
Mendicula ferruginosa,152905,Mendicula ferruginosa,Animalia,Mollusca,Bivalvia,Lucinida,Thyasiridae,Mendicula,ferruginosa
Molgulidae,103448,Molgulidae,Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,NA,NA
Montacuta substriata,140377,Montacuta substriata,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Montacuta,substriata
Myodocopida,2104,Myodocopida,Animalia,Arthropoda,Ostracoda,Myodocopida,NA,NA,NA
Myrianida,129659,Myrianida,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Myrianida,NA
Myriochele,129426,Myriochele,Animalia,Annelida,Polychaeta,NA,Oweniidae,Myriochele,NA
Myriochele danielsseni,130540,Myriochele danielsseni,Animalia,Annelida,Polychaeta,NA,Oweniidae,Myriochele,danielsseni
Myriochele heeri,130542,Myriochele heeri,Animalia,Annelida,Polychaeta,NA,Oweniidae,Myriochele,heeri
Myrtea spinifera,140287,Myrtea spinifera,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Myrtea,spinifera
Mysia undata,140728,Mysia undata,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mysia,undata
Mysidae,119822,Mysidae,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,NA,NA
Mytilus edulis,140480,Mytilus edulis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,edulis
Naticidae,145,Naticidae,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,NA,NA
Nematoda,799,Nematoda,Animalia,Nematoda,NA,NA,NA,NA,NA
Nemertea,152391,Nemertea,Animalia,Nemertea,NA,NA,NA,NA,NA
Neogyptis rosea,743514,Neogyptis rosea,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Neogyptis,rosea
Neoturris,117185,Neoturris,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Neoturris,NA
Nephasoma (Nephasoma) minutum,136060,Nephasoma (Nephasoma) minutum,Animalia,Annelida,NA,Sipuncula,Golfingiidae,Nephasoma,minutum
Nephasoma minutum,136060,Nephasoma (Nephasoma) minutum,Animalia,Annelida,NA,Sipuncula,Golfingiidae,Nephasoma,minutum
Nephrops norvegicus,107254,Nephrops norvegicus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,norvegicus
Nephtys,129370,Nephtys,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,NA
Nephtys assimilis,130353,Nephtys assimilis,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,assimilis
Nephtys caeca,130355,Nephtys caeca,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,caeca
Nephtys cirrosa,130357,Nephtys cirrosa,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,cirrosa
Nephtys hombergii,130359,Nephtys hombergii,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,hombergii
Nephtys hystricis,130360,Nephtys hystricis,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,hystricis
Nephtys incisa,130362,Nephtys incisa,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,incisa
Nephtys kersivalensis,130363,Nephtys kersivalensis,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,kersivalensis
Nephtys paradoxa,130365,Nephtys paradoxa,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,paradoxa
Nereididae,22496,Nereididae,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,NA,NA
Nereis zonata,130407,Nereis zonata,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,zonata
Nicippe tumida,102944,Nicippe tumida,Animalia,Arthropoda,Malacostraca,Amphipoda,Pardaliscidae,Nicippe,tumida
Nicolea venustula,131507,Nicolea venustula,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Nicolea,venustula
Nothria,129402,Nothria,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Nothria,NA
Notomastus,129220,Notomastus,Animalia,Annelida,Polychaeta,NA,Capitellidae,Notomastus,NA
Nototropis swammerdamei,488966,Nototropis swammerdamei,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Nototropis,swammerdamei
Nototropis vedlomensis,179538,Nototropis vedlomensis,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Nototropis,vedlomensis
Nucula,138262,Nucula,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Nucula,NA
Nucula nitidosa,140589,Nucula nitidosa,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Nucula,nitidosa
Nucula sulcata,140592,Nucula sulcata,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Nucula,sulcata
Nuculana minuta,140577,Nuculana minuta,Animalia,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana,minuta
Nuculanidae,205,Nuculanidae,Animalia,Mollusca,Bivalvia,Nuculanida,Nuculanidae,NA,NA
Nuculidae,204,Nuculidae,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,NA,NA
Nudibranchia,1762,Nudibranchia,Animalia,Mollusca,Gastropoda,Nudibranchia,NA,NA,NA
Nyctiphanes couchii,254316,Nyctiphanes couchii,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes,couchii
Onchidoris,138288,Onchidoris,Animalia,Mollusca,Gastropoda,Doridida,Onchidorididae,Onchidoris,NA
Opercularella lacerata,117413,Opercularella lacerata,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulinidae,Opercularella,lacerata
Ophelia,129413,Ophelia,Animalia,Annelida,Polychaeta,NA,Opheliidae,Ophelia,NA
Ophelia borealis,130491,Ophelia borealis,Animalia,Annelida,Polychaeta,NA,Opheliidae,Ophelia,borealis
Ophelina acuminata,130500,Ophelina acuminata,Animalia,Annelida,Polychaeta,NA,Opheliidae,Ophelina,acuminata
Ophelina cylindricaudata,130503,Ophelina cylindricaudata,Animalia,Annelida,Polychaeta,NA,Opheliidae,Ophelina,cylindricaudata
Ophelina modesta,130507,Ophelina modesta,Animalia,Annelida,Polychaeta,NA,Opheliidae,Ophelina,modesta
Ophiactis balli,125110,Ophiactis balli,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiactidae,Ophiactis,balli
Ophiocten affinis,124850,Ophiocten affinis,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiocten,affinis
Ophiothrix fragilis,125131,Ophiothrix fragilis,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,fragilis
Ophiuridae,123200,Ophiuridae,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,NA,NA
Ophiuroidea,123084,Ophiuroidea,Animalia,Echinodermata,Ophiuroidea,NA,NA,NA,NA
Ophryotrocha,129266,Ophryotrocha,Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Ophryotrocha,NA
Orbinia latreillii,130522,Orbinia latreillii,Animalia,Annelida,Polychaeta,NA,Orbiniidae,Orbinia,latreillii
Orbinia sertulata,130523,Orbinia sertulata,Animalia,Annelida,Polychaeta,NA,Orbiniidae,Orbinia,sertulata
Orbinia (Orbinia) sertulata,130523,Orbinia sertulata,Animalia,Annelida,Polychaeta,NA,Orbiniidae,Orbinia,sertulata
Orbiniidae,902,Orbiniidae,Animalia,Annelida,Polychaeta,NA,Orbiniidae,NA,NA
Owenia,1665023,Owenia,Chromista,Haptophyta,Coccolithophyceae,Coccolithales,Calyptrosphaeraceae,Owenia,NA
Oweniidae,975,Oweniidae,Animalia,Annelida,Polychaeta,NA,Oweniidae,NA,NA
Oxydromus flexuosus,710680,Oxydromus flexuosus,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,flexuosus
Paguridae,106738,Paguridae,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,NA,NA
Pagurus prideaux,107239,Pagurus prideaux,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,prideaux
Pagurus pubescens,107240,Pagurus pubescens,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,pubescens
Panthalis oerstedi,129737,Panthalis oerstedi,Animalia,Annelida,Polychaeta,Phyllodocida,Acoetidae,Panthalis,oerstedi
Papillicardium minimum,1417307,Papillicardium minimum,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Papillicardium,minimum
Parvicardium minimum,1417307,Papillicardium minimum,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Papillicardium,minimum
Paradialychone,558736,Paradialychone,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Paradialychone,NA
Paradoneis lyra,130585,Paradoneis lyra,Animalia,Annelida,Polychaeta,NA,Paraonidae,Paradoneis,lyra
Paradulichia typica,103050,Paradulichia typica,Animalia,Arthropoda,Malacostraca,Amphipoda,Dulichiidae,Paradulichia,typica
Leptopentacta elongata,1474372,Paraleptopentacta elongata,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Paraleptopentacta,elongata
Paramphinome jeffreysii,129837,Paramphinome jeffreysii,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome,jeffreysii
Paramphitrite birulai,152454,Paramphitrite birulai,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Paramphitrite,birulai
Paranymphon spinosum,134632,Paranymphon spinosum,Animalia,Arthropoda,Pycnogonida,Pantopoda,Ascorhynchidae,Paranymphon,spinosum
Paratanaoidea,148687,Paratanaoidea,Animalia,Arthropoda,Malacostraca,Tanaidacea,NA,NA,NA
Parathelepus collaris,131512,Parathelepus collaris,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Parathelepus,collaris
Parathyasira equalis,954693,Parathyasira equalis,Animalia,Mollusca,Bivalvia,Lucinida,Thyasiridae,Parathyasira,equalis
Pariambus typicus,101857,Pariambus typicus,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Pariambus,typicus
Parvicardium,137739,Parvicardium,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Parvicardium,NA
Paucibranchia kinbergi,1305584,Paucibranchia kinbergi,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Paucibranchia,kinbergi
Pectinariidae,980,Pectinariidae,Animalia,Annelida,Polychaeta,Terebellida,Pectinariidae,NA,NA
Penetrantiidae,110797,Penetrantiidae,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Penetrantiidae,NA,NA
Pennatula phosphorea,128517,Pennatula phosphorea,Animalia,Cnidaria,Octocorallia,Scleralcyonacea,Pennatulidae,Pennatula,phosphorea
Peresiella clymenoides,129906,Peresiella clymenoides,Animalia,Annelida,Polychaeta,NA,Capitellidae,Peresiella,clymenoides
Perioculodes longimanus,102915,Perioculodes longimanus,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Perioculodes,longimanus
Petalosarsia declivis,110593,Petalosarsia declivis,Animalia,Arthropoda,Malacostraca,Cumacea,Pseudocumatidae,Petalosarsia,declivis
Pharidae,23091,Pharidae,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,NA,NA
Phascolion (Phascolion) strombus strombus,410749,Phascolion (Phascolion) strombus strombus,Animalia,Annelida,NA,Sipuncula,Golfingiidae,Phascolion,strombus
Phascolion (Phascolion) strombus,410749,Phascolion (Phascolion) strombus strombus,Animalia,Annelida,NA,Sipuncula,Golfingiidae,Phascolion,strombus
Phascolion strombus,410749,Phascolion (Phascolion) strombus strombus,Animalia,Annelida,NA,Sipuncula,Golfingiidae,Phascolion,strombus
